"id","log","lat"
"Polygon_3",-110.07955,22.9696
"Polygon_3",-110.05486,22.93427
"Polygon_3",-110.04462,22.92369
"Polygon_3",-110.01049,22.89341
"Polygon_3",-109.97704,22.87135
"Polygon_3",-109.9598,22.86672
"Polygon_3",-109.94462,22.87032
"Polygon_3",-109.9197,22.86979
"Polygon_3",-109.90998,22.87245
"Polygon_3",-109.89494,22.87432
"Polygon_3",-109.89181,22.88011
"Polygon_3",-109.90184,22.88226
"Polygon_3",-109.89951,22.88505
"Polygon_3",-109.89718,22.88989
"Polygon_3",-109.88799,22.89362
"Polygon_3",-109.87715,22.89547
"Polygon_3",-109.86751,22.89384
"Polygon_3",-109.86003,22.89623
"Polygon_3",-109.84173,22.90194
"Polygon_3",-109.83467,22.91004
"Polygon_3",-109.80529,22.93094
"Polygon_3",-109.80244,22.94676
"Polygon_3",-109.78729,22.96384
"Polygon_3",-109.76289,22.97333
"Polygon_3",-109.75309,22.98187
"Polygon_3",-109.73205,22.98487
"Polygon_3",-109.71879,22.99965
"Polygon_3",-109.70838,23.00577
"Polygon_3",-109.71451,23.01325
"Polygon_3",-109.71276,23.02648
"Polygon_3",-109.69713,23.03877
"Polygon_3",-109.67558,23.04808
"Polygon_3",-109.66652,23.05732
"Polygon_3",-109.64675,23.06365
"Polygon_3",-109.62628,23.06809
"Polygon_3",-109.60634,23.07727
"Polygon_3",-109.57903,23.07933
"Polygon_3",-109.56476,23.08834
"Polygon_3",-109.55182,23.09728
"Polygon_3",-109.52956,23.10743
"Polygon_3",-109.49165,23.15039
"Polygon_3",-109.46961,23.1785
"Polygon_3",-109.45,23.20138
"Polygon_3",-109.44775,23.2144
"Polygon_3",-109.43895,23.22917
"Polygon_3",-109.43152,23.2452
"Polygon_3",-109.43594,23.26991
"Polygon_3",-109.42184,23.30859
"Polygon_3",-109.42646,23.31894
"Polygon_3",-109.42216,23.33869
"Polygon_3",-109.42523,23.34205
"Polygon_3",-109.42649,23.34715
"Polygon_3",-109.42395,23.36276
"Polygon_3",-109.42793,23.37214
"Polygon_3",-109.43005,23.37768
"Polygon_3",-109.42315,23.38046
"Polygon_3",-109.41894,23.38035
"Polygon_3",-109.41386,23.38151
"Polygon_3",-109.41049,23.39362
"Polygon_3",-109.41561,23.40471
"Polygon_3",-109.42717,23.40674
"Polygon_3",-109.42981,23.41886
"Polygon_3",-109.42284,23.45171
"Polygon_3",-109.42862,23.45961
"Polygon_3",-109.44006,23.46531
"Polygon_3",-109.44325,23.47209
"Polygon_3",-109.44369,23.47825
"Polygon_3",-109.45797,23.48882
"Polygon_3",-109.4721,23.51131
"Polygon_3",-109.47882,23.52146
"Polygon_3",-109.47902,23.52987
"Polygon_3",-109.47466,23.53903
"Polygon_3",-109.46447,23.55118
"Polygon_3",-109.47039,23.56171
"Polygon_3",-109.49244,23.56658
"Polygon_3",-109.51037,23.57396
"Polygon_3",-109.51482,23.58649
"Polygon_3",-109.56845,23.60068
"Polygon_3",-109.59874,23.62054
"Polygon_3",-109.63047,23.62816
"Polygon_3",-109.63901,23.63459
"Polygon_3",-109.66849,23.64574
"Polygon_3",-109.68012,23.65249
"Polygon_3",-109.69435,23.66753
"Polygon_3",-109.69206,23.68142
"Polygon_3",-109.69321,23.69782
"Polygon_3",-109.70065,23.71552
"Polygon_3",-109.70935,23.73396
"Polygon_3",-109.70879,23.74721
"Polygon_3",-109.70822,23.76266
"Polygon_3",-109.70314,23.78224
"Polygon_3",-109.69051,23.80119
"Polygon_3",-109.70594,23.80767
"Polygon_3",-109.71692,23.81948
"Polygon_3",-109.72823,23.83777
"Polygon_3",-109.74226,23.85016
"Polygon_3",-109.74904,23.85673
"Polygon_3",-109.76878,23.87677
"Polygon_3",-109.78559,23.88482
"Polygon_3",-109.80068,23.89779
"Polygon_3",-109.80408,23.90144
"Polygon_3",-109.81864,23.9087
"Polygon_3",-109.82873,23.91595
"Polygon_3",-109.83684,23.93337
"Polygon_3",-109.83842,23.94545
"Polygon_3",-109.8376,23.95439
"Polygon_3",-109.83501,23.96693
"Polygon_3",-109.83635,23.97006
"Polygon_3",-109.83628,23.97192
"Polygon_3",-109.8334,23.98098
"Polygon_3",-109.83485,23.98309
"Polygon_3",-109.82882,23.99045
"Polygon_3",-109.82672,23.98886
"Polygon_3",-109.81908,23.99226
"Polygon_3",-109.81308,24.00126
"Polygon_3",-109.80999,24.00389
"Polygon_3",-109.81103,24.00664
"Polygon_3",-109.8114,24.00933
"Polygon_3",-109.80664,24.01031
"Polygon_3",-109.80261,24.02293
"Polygon_3",-109.80828,24.03374
"Polygon_3",-109.81929,24.03623
"Polygon_3",-109.82482,24.04342
"Polygon_3",-109.82557,24.06218
"Polygon_3",-109.83052,24.06521
"Polygon_3",-109.85916,24.05366
"Polygon_3",-109.88402,24.04431
"Polygon_3",-109.91022,24.03783
"Polygon_3",-109.94227,24.03793
"Polygon_3",-109.96429,24.04237
"Polygon_3",-109.97393,24.04271
"Polygon_3",-109.97945,24.04681
"Polygon_3",-109.9874,24.10015
"Polygon_3",-109.99858,24.13715
"Polygon_3",-110.00873,24.16537
"Polygon_3",-110.06033,24.1998
"Polygon_3",-110.07142,24.20541
"Polygon_3",-110.08466,24.216
"Polygon_3",-110.09935,24.21894
"Polygon_3",-110.10649,24.22218
"Polygon_3",-110.11769,24.23024
"Polygon_3",-110.12393,24.2307
"Polygon_3",-110.13471,24.23695
"Polygon_3",-110.13773,24.24444
"Polygon_3",-110.14593,24.24646
"Polygon_3",-110.15276,24.25161
"Polygon_3",-110.15818,24.2519
"Polygon_3",-110.16989,24.25351
"Polygon_3",-110.17439,24.25669
"Polygon_3",-110.18071,24.26628
"Polygon_3",-110.18437,24.27078
"Polygon_3",-110.18271,24.27982
"Polygon_3",-110.18551,24.2828
"Polygon_3",-110.18865,24.28782
"Polygon_3",-110.19269,24.2937
"Polygon_3",-110.1953,24.29413
"Polygon_3",-110.1999,24.29773
"Polygon_3",-110.21177,24.29984
"Polygon_3",-110.21484,24.30356
"Polygon_3",-110.21584,24.30602
"Polygon_3",-110.21734,24.30937
"Polygon_3",-110.22154,24.31232
"Polygon_3",-110.22792,24.31363
"Polygon_3",-110.23305,24.31663
"Polygon_3",-110.2356,24.31964
"Polygon_3",-110.23453,24.32238
"Polygon_3",-110.23551,24.32594
"Polygon_3",-110.23392,24.3309
"Polygon_3",-110.2297,24.3338
"Polygon_3",-110.23053,24.34053
"Polygon_3",-110.23411,24.34476
"Polygon_3",-110.23712,24.34562
"Polygon_3",-110.2421,24.34671
"Polygon_3",-110.24477,24.35069
"Polygon_3",-110.24813,24.3509
"Polygon_3",-110.25038,24.34702
"Polygon_3",-110.253,24.34741
"Polygon_3",-110.26726,24.34966
"Polygon_3",-110.27143,24.35225
"Polygon_3",-110.27476,24.35371
"Polygon_3",-110.27815,24.35197
"Polygon_3",-110.28292,24.35477
"Polygon_3",-110.28526,24.35443
"Polygon_3",-110.28786,24.35217
"Polygon_3",-110.29376,24.35376
"Polygon_3",-110.29852,24.35288
"Polygon_3",-110.29962,24.35127
"Polygon_3",-110.30062,24.34945
"Polygon_3",-110.3016,24.348
"Polygon_3",-110.30234,24.34527
"Polygon_3",-110.30521,24.3434
